,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olafsvik,64.89,-23.71,42.48,86,100,14.25,IS,1603232099
1,auki,-8.77,160.7,82.26,78,100,4.68,SB,1603232099
2,cape town,-36.41,-71.9,75.2,29,10,9.17,CL,1603232099
3,port alfred,-7.03,29.76,76.37,64,58,7.38,CD,1603232100
4,englewood,39.65,-104.99,69.01,27,75,10.29,US,1603232076
5,albany,42.6,-73.97,63,79,100,4.59,US,1603231803
6,vysokogornyy,50.12,139.15,30.99,88,99,3.4,RU,1603232100
7,saint-philippe,-21.36,55.77,71.6,60,20,8.05,RE,1603231851
8,pevek,69.7,170.31,30.58,95,100,17.72,RU,1603231580
9,nedjo,9.5,35.5,56.28,89,1,0.72,ET,1603232101
10,punta arenas,8.99,125.34,76.93,88,100,3.53,PH,1603232101
11,iwaki,37.05,140.88,55.99,76,24,7.45,JP,1603232102
12,avarua,-21.21,-159.78,77,88,36,4.7,CK,1603231844
13,hamilton,39.18,-84.53,55.4,93,90,2.82,US,1603232087
14,kiruna,67.86,20.23,23,92,45,0.63,SE,1603232027
15,mareeba,-17,145.43,79,73,40,9.17,AU,1603232103
16,shimoda,34.67,138.95,55.99,79,11,1.99,JP,1603232103
17,hobart,-42.88,147.33,57.99,71,75,6.93,AU,1603231900
18,butaritari,3.07,172.79,82.06,77,95,12.15,KI,1603231874
19,busselton,-33.65,115.33,48.99,94,0,6.85,AU,1603232069
20,ahipara,-35.17,173.17,65.89,58,100,5.14,NZ,1603232104
21,rikitea,-23.12,-134.97,73.6,79,0,14.65,PF,1603232105
22,praya,14.92,-23.51,82.4,74,100,16.11,CV,1603232105
23,jamestown,42.1,-79.24,48,100,90,8.05,US,1603232105
24,andenes,69.31,16.12,28.4,86,5,5.82,NO,1603231961
25,hermanus,-34.42,19.23,46,91,0,2.84,ZA,1603232105
26,geraldton,-28.77,114.6,64.4,77,75,12.75,AU,1603232106
27,walcz,53.28,16.47,48.97,80,100,10.11,PL,1603232106
28,saldanha,-33.01,17.94,50,76,0,4.7,ZA,1603232106
29,vaini,-21.2,-175.2,75.2,64,75,11.41,TO,1603232106
30,udachnyy,66.42,112.4,1.4,91,90,4.47,RU,1603232107
31,dikson,73.51,80.55,22.35,96,94,4.97,RU,1603232107
32,jumla,29.27,82.18,45.91,56,0,4.9,NP,1603232074
33,tommot,58.96,126.29,24.94,97,100,3.11,RU,1603232107
34,lebu,-37.62,-73.65,51.55,71,0,19.39,CL,1603232107
35,mataura,-46.19,168.86,53.01,69,36,7,NZ,1603232107
36,benidorm,38.54,-0.13,66.99,73,98,3,ES,1603232012
37,ribeira grande,42.75,-8.44,59,100,90,5.82,ES,1603232108
38,bluff,-46.6,168.33,53.01,69,57,7,NZ,1603232079
39,bambous virieux,-20.26,57.41,75.2,73,20,9.17,MU,1603232109
40,bredasdorp,-34.53,20.04,44.6,87,0,2.24,ZA,1603232061
41,pisco,-13.7,-76.22,66.99,72,3,8.05,PE,1603231887
42,new norfolk,6.65,-10.59,77,94,75,1.52,LR,1603232109
43,ushuaia,-54.8,-68.3,44.6,68,75,13.87,AR,1603231881
44,herat,34.5,62,43.97,53,0,5.68,AF,1603232110
45,fairbanks,64.84,-147.72,21.2,85,90,2.24,US,1603231831
46,cabedelo,-6.98,-34.83,78.8,78,98,9.17,BR,1603231986
47,soria,41.67,-2.67,53.01,94,100,10,ES,1603232110
48,atuona,-9.8,-139.03,77.88,73,3,17.31,PF,1603231876
49,hithadhoo,-0.6,73.08,82.02,81,92,14.43,MV,1603232017
50,west point,31.8,-97.09,87.8,43,40,11.41,US,1603232111
51,mount gambier,53.66,-1.85,55.99,90,65,1.99,GB,1603232111
52,alyangula,-13.85,136.42,78.8,94,75,3.36,AU,1603232111
53,guayaquil,-2.17,-79.9,86,55,20,12.75,EC,1603232111
54,katobu,-4.94,122.53,74.82,82,82,3.36,ID,1603232112
55,omsukchan,62.53,155.8,13.28,92,90,2.21,RU,1603232112
56,sibolga,1.74,98.78,76.75,81,52,3.4,ID,1603231960
57,clyde river,41.3,-82.98,52,85,100,11.01,US,1603231841
58,mitsamiouli,-11.38,43.28,78.85,72,0,1.77,KM,1603232112
59,moses lake,6.69,-8.48,71.67,98,73,3.2,CI,1603232113
60,corowa,-36.03,146.38,55,96,100,2.15,AU,1603232113
61,aklavik,68.22,-135.01,23,79,90,21.92,CA,1603232113
62,ponta do sol,38.73,-28.27,59.99,73,78,25.99,PT,1603232113
63,hay river,52.07,-3.13,57.99,93,100,8.43,GB,1603232114
64,kaitangata,-46.28,169.85,51.96,58,95,2.57,NZ,1603232114
65,port augusta,-7.03,29.76,76.37,64,58,7.38,CD,1603232114
66,ambulu,-8.35,113.61,75.47,84,19,3.87,ID,1603232114
67,luderitz,-26.65,15.16,65.23,44,0,24.11,NA,1603232114
68,chuy,-33.7,-53.46,55.83,82,100,14.85,UY,1603232115
69,vostok,46.49,135.88,34.39,86,50,5.12,RU,1603232115
70,quelimane,-17.88,36.89,77.4,74,0,7.9,MZ,1603232115
71,viedma,-40.81,-63,62.01,25,32,5.99,AR,1603232115
72,gat,31.61,34.76,75,100,0,3.65,IL,1603231888
73,arraial do cabo,-22.84,-46.65,75.2,69,40,4.7,BR,1603232115
74,saint-augustin,51.23,-58.65,44.91,94,100,8.08,CA,1603231942
75,champasak,14.75,106,71.46,97,100,0.92,LA,1603232116
76,mogwase,-25.18,27.27,82.69,23,94,7.05,ZA,1603232116
77,kamenka,51.32,42.77,36.52,82,15,9.6,RU,1603231957
78,bandrele,-12.91,45.19,77,83,0,3.36,YT,1603232117
79,pangkalanbuun,-2.68,111.62,75.27,96,72,1.3,ID,1603232117
80,port elizabeth,-7.03,29.76,76.37,64,58,7.38,CD,1603232117
81,kapaa,22.08,-159.32,75.2,88,75,9.17,US,1603231871
82,xai-xai,-25.05,33.64,73.44,76,80,23.58,MZ,1603232118
83,paamiut,61.99,-49.67,37.71,76,100,3.2,GL,1603232104
84,korla,41.76,86.15,46.08,50,0,3.89,CN,1603232118
85,kununurra,-15.77,128.73,78.8,94,0,3.36,AU,1603232118
86,klaksvik,62.23,-6.59,39.2,80,20,6.93,FO,1603232118
87,kenitra,34.26,-6.58,69.8,83,90,14.99,MA,1603232119
88,mar del plata,43.4,-4.01,73.4,49,100,20.8,ES,1603232119
89,westport,41.14,-73.36,64.4,93,1,4.7,US,1603231960
90,balkhash,46.84,74.98,48.09,44,0,10.4,KZ,1603232119
91,inta,66.03,60.17,21.43,97,99,2.68,RU,1603232120
92,emerald,-23.53,148.17,75,78,75,12.75,AU,1603232120
93,batticaloa,7.71,81.69,77.99,82,35,6.67,LK,1603232120
94,saskylakh,71.92,114.08,21.02,97,99,8.3,RU,1603231882
95,emba,48.83,58.14,42.64,70,0,14.9,KZ,1603232120
96,hasaki,35.73,140.83,55,87,20,9.17,JP,1603231956
97,tiksi,71.69,128.87,9.34,92,97,10.51,RU,1603232121
98,orange cove,33.7,-117.77,79,60,20,10.29,US,1603232121
99,kloulklubed,7.04,134.26,77,94,90,2.89,PW,1603232122
100,castro,-24.79,-50.01,67.46,78,66,2.55,BR,1603231855
101,kushmurun,52.45,64.63,48.87,55,93,4.14,KZ,1603232122
102,maniitsoq,65.42,-52.9,33.33,91,100,18.57,GL,1603232123
103,bethel,41.37,-73.41,66.99,88,1,2.98,US,1603231863
104,sawtell,-30.38,153.1,66.2,68,0,3.36,AU,1603232123
105,tuktoyaktuk,69.45,-133.04,23,85,90,17.22,CA,1603231930
106,hobyo,5.35,48.53,80.04,81,0,18.43,SO,1603231959
107,gilbues,-9.83,-45.34,86.29,25,100,4.52,BR,1603232124
108,neya,58.3,43.87,31.1,95,90,10.31,RU,1603232124
109,esperance,-33.87,121.9,59,100,90,9.17,AU,1603232124
110,longyearbyen,78.22,15.64,21.2,79,7,3.36,SJ,1603232124
111,menongue,-14.66,17.69,71.22,21,0,5.88,AO,1603232124
112,samandag,36.08,35.98,64.4,93,1,4.7,TR,1603232125
113,itoman,26.12,127.67,80.6,69,90,18.34,JP,1603231998
114,kruisfontein,-34,24.73,53.01,84,0,1.01,ZA,1603232125
115,hilo,19.73,-155.09,84.2,58,1,12.75,US,1603232125
116,san jose,13.3,-4.9,85.57,27,0,2.48,ML,1603231961
117,hoquiam,46.98,-123.89,57.99,54,90,8.05,US,1603232126
118,tasiilaq,65.61,-37.64,32,93,100,18.34,GL,1603232126
119,nyurba,63.28,118.33,15.73,97,78,4.05,RU,1603232126
120,soligalich,59.08,42.29,28.22,95,57,8.93,RU,1603232126
121,owensboro,37.77,-87.11,66.2,93,75,3.36,US,1603232126
122,torbay,47.67,-52.73,57,87,75,9.17,CA,1603232127
123,praia da vitoria,14.92,-23.51,82.4,74,100,16.11,CV,1603232127
124,sindou,10.67,-5.17,75.42,73,97,2.93,BF,1603232127
125,zhigansk,66.77,123.37,15.37,96,100,3.36,RU,1603231927
126,constitucion,-35.33,-72.42,57.31,65,0,18.3,CL,1603231847
127,tirumullaivasal,11.23,79.83,78.22,83,100,11.5,IN,1603232128
128,ancud,-41.87,-73.82,54,53,0,10.29,CL,1603231852
129,santa cruz de tenerife,17.49,120.43,78.64,83,100,7.81,PH,1603232128
130,nemuro,43.32,145.57,50.92,70,31,1.01,JP,1603232128
131,batouri,4.43,14.37,69.15,87,36,2.48,CM,1603232129
132,bereda,43.27,-7.54,55.99,100,100,5.01,ES,1603232129
133,collie,-33.37,116.15,48.99,89,3,4.7,AU,1603232129
134,watauga,32.86,-97.25,87.01,51,20,14.99,US,1603231928
135,martuni,40.14,45.3,47.7,60,14,5.12,AM,1603232129
136,rudsar,37.14,50.29,68,82,90,2.24,IR,1603232129
137,mehamn,71.04,27.85,37.4,83,90,10.29,NO,1603232130
138,atar,20.52,-13.05,89.01,23,0,7.38,MR,1603232130
139,ivaipora,-24.25,-51.68,73.72,68,88,2.24,BR,1603232130
140,inhambane,-23.86,35.38,72.93,90,0,3.44,MZ,1603232083
141,komsomolskiy,40.43,71.72,57.63,35,0,1.48,UZ,1603231980
142,igarka,67.47,86.58,10.81,94,100,5.88,RU,1603232131
143,unity,52.45,-109.17,28.72,86,98,7.34,CA,1603232131
144,padang,-0.95,100.35,78.75,73,84,4.25,ID,1603231965
145,barrow,71.29,-156.79,24.8,85,90,10.29,US,1603231938
146,villazon,-22.09,-65.59,56.86,44,27,13.91,BO,1603232132
147,khatanga,71.97,102.5,5.9,95,83,8.1,RU,1603232132
148,palmer,42.16,-72.33,68,72,75,3.4,US,1603231874
149,phan thiet,19.55,99.74,69.8,100,75,5.82,TH,1603232132
150,gimli,50.63,-96.99,33.01,98,98,5.99,CA,1603231892
151,taltal,-25.4,-70.48,64.78,61,24,8.75,CL,1603231975
152,gravdal,68.12,13.5,35.6,74,40,8.05,NO,1603232133
153,council bluffs,44.73,-116.44,51.8,43,90,8.05,US,1603232133
154,fereydunshahr,32.94,50.12,41.58,39,0,6.46,IR,1603232133
155,soyo,-6.13,12.37,77.04,81,87,6.73,AO,1603232133
156,estelle,29.85,-90.11,82,83,40,14.99,US,1603232025
157,kudahuvadhoo,2.67,72.89,82.24,79,100,12.17,MV,1603232134
158,grand river south east,38.88,-109.5,78.01,12,1,4.7,US,1603232134
159,yellowknife,62.46,-114.35,27,68,75,8.05,CA,1603232030
160,bagdarin,54.43,113.6,15.96,86,1,4.76,RU,1603232134
161,sudislavl,57.88,41.71,31.17,97,88,9.22,RU,1603232134
162,richards bay,46.84,-95.91,32,99,90,13.87,US,1603232135
163,severo-kurilsk,50.68,156.12,41.76,67,67,23.53,RU,1603232135
164,mildura,-34.2,142.15,66.99,58,48,1.12,AU,1603231965
165,smithers,54.78,-127.17,35.6,62,75,2.73,CA,1603232102
166,massakory,13,15.73,88.5,13,0,8.3,TD,1603232080
167,lydenburg,-25.1,30.46,69.01,90,28,8.99,ZA,1603232135
168,oranjemund,-28.55,16.43,58.82,73,0,22.55,NA,1603232136
169,visnes,59.36,5.22,53.6,93,90,23.04,NO,1603232136
170,arlit,18.74,7.39,88.61,12,0,8.05,NE,1603232136
171,nabire,-3.37,135.48,74.93,93,100,3.87,ID,1603231849
172,victoria,22.29,114.16,71.01,72,45,3,HK,1603231927
173,chik,54.99,82.43,39.2,80,93,8.95,RU,1603232137
174,provideniya,64.38,-173.3,40.12,96,100,10.42,RU,1603232137
175,tabasco,18,-92.67,86,66,75,8.05,MX,1603231991
176,molnlycke,57.66,12.12,50,93,90,12.75,SE,1603232138
177,mankono,8.06,-6.19,73.06,91,29,2.89,CI,1603232138
178,mananjary,-21.22,48.33,71.1,88,30,6.22,MG,1603232138
179,malakal,9.53,31.66,75.76,76,46,3.36,SS,1603232138
180,naze,28.37,129.48,77,83,75,17.22,JP,1603232138
181,vila velha,42.03,-8.16,54,95,100,7,PT,1603232139
182,san vicente,13.3,-4.9,85.57,27,0,2.48,ML,1603232094
183,susangerd,31.56,48.18,62.6,51,0,2.24,IR,1603232139
184,isangel,-19.55,169.27,80.6,74,20,6.93,VU,1603231896
185,scottsbluff,41.87,-103.67,59,38,1,13.87,US,1603232139
186,kavieng,-2.57,150.8,81.68,80,94,11.88,PG,1603232090
187,iqaluit,63.75,-68.51,30.2,74,75,5.82,CA,1603232140
188,san cristobal,13.3,-4.9,85.57,27,0,2.48,ML,1603231961
189,okhotsk,59.38,143.3,24.73,80,97,10.31,RU,1603232140
190,kataysk,56.29,62.58,35.44,85,0,5.73,RU,1603232140
191,port hardy,-7.03,29.76,76.37,64,58,7.38,CD,1603232100
192,sovetskiy,61.36,63.58,32.77,95,100,4.45,RU,1603232141
193,caravelas,-17.71,-39.25,73.6,92,91,5.46,BR,1603232141
194,kyaukse,21.6,96.13,74.01,89,100,3,MM,1603232141
